timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2020/06/16 15:16:38,1199,Subscription for online data,200,OK,OnlineData-1-Object & 1 User 1-1,text,true,,610,1933,1,1,https://data-api.tdb.test.its-siemens.com/v1/api/subscription/Concept12,1199,0,879
2020/06/16 15:16:40,2282,Data fetch for online data,200,OK,OnlineData-1-Object & 1 User 1-1,text,true,,1410968,1784,1,1,https://data-api.tdb.test.its-siemens.com/v1/api/data/Concept12/TRAFFIC/507200DT02D80252T0202275200000B050700204B2772B0D42B88D022252DDT2?size=2000000,594,0,0
2020/06/16 15:16:48,2894,Data fetch for online data,200,OK,OnlineData-1-Object & 1 User 1-1,text,true,,1411113,1784,1,1,https://data-api.tdb.test.its-siemens.com/v1/api/data/Concept12/TRAFFIC/507200DT02D80252T0202275200000B050700204B2772B0D42B88D022252DDT2?size=2000000,1239,0,652
2020/06/16 15:16:57,3977,Data fetch for online data,200,OK,OnlineData-1-Object & 1 User 1-1,text,true,,1411057,1784,1,1,https://data-api.tdb.test.its-siemens.com/v1/api/data/Concept12/TRAFFIC/507200DT02D80252T0202275200000B050700204B2772B0D42B88D022252DDT2?size=2000000,1325,0,659
2020/06/16 15:17:07,3509,Data fetch for online data,200,OK,OnlineData-1-Object & 1 User 1-1,text,true,,1410810,1784,1,1,https://data-api.tdb.test.its-siemens.com/v1/api/data/Concept12/TRAFFIC/507200DT02D80252T0202275200000B050700204B2772B0D42B88D022252DDT2?size=2000000,1318,0,693
2020/06/16 15:17:16,5324,Data fetch for online data,200,OK,OnlineData-1-Object & 1 User 1-1,text,true,,1411017,1784,1,1,https://data-api.tdb.test.its-siemens.com/v1/api/data/Concept12/TRAFFIC/507200DT02D80252T0202275200000B050700204B2772B0D42B88D022252DDT2?size=2000000,1268,0,625
2020/06/16 15:17:28,1119,Delete,200,OK,OnlineData-1-Object & 1 User 1-1,text,true,,284,1732,1,1,https://data-api.tdb.test.its-siemens.com/v1/api/subscription/Concept12/965,1119,0,886
2020/06/16 15:17:29,0,Debug Sampler,200,OK,OnlineData-1-Object & 1 User 1-1,text,true,,571,0,1,1,null,0,0,0
